transaction_id,transaction_datetime,from_account,to_account,transaction_type,amount,status,channel,remarks
TXN00059,2026-01-01 18:50:00,A1010,A1083,RTGS,5000,SUCCESS,Internet Banking,Daily transfer
TXN00060,2026-01-01 19:00:00,A1025,A1075,NEFT,1000,SUCCESS,Internet Banking,Daily transfer
TXN00061,2026-01-01 19:10:00,A1099,A1049,IMPS,1000,SUCCESS,Mobile App,Daily transfer
TXN00062,2026-01-01 19:20:00,A1072,A1051,RTGS,1500,SUCCESS,Mobile App,Daily transfer
TXN00063,2026-01-01 19:30:00,A1034,A1093,UPI,250,SUCCESS,Mobile App,Daily transfer
TXN00064,2026-01-01 19:40:00,A1058,A1018,UPI,1000,SUCCESS,ATM,Daily transfer
TXN00065,2026-01-01 19:50:00,A1098,A1044,NEFT,5000,SUCCESS,Internet Banking,Daily transfer
TXN00066,2026-01-01 20:00:00,A1028,A1011,IMPS,1500,SUCCESS,Branch,Daily transfer
TXN00067,2026-01-01 20:10:00,A1026,A1025,NEFT,1000,SUCCESS,Internet Banking,Daily transfer
TXN00068,2026-01-01 20:20:00,A1027,A1008,NEFT,1500,SUCCESS,Internet Banking,Daily transfer
TXN00069,2026-01-01 20:30:00,A1089,A1001,RTGS,2000,SUCCESS,Branch,Daily transfer
TXN00070,2026-01-01 20:40:00,A1075,A1024,IMPS,1500,SUCCESS,Internet Banking,Daily transfer
TXN00071,2026-01-01 20:50:00,A1087,A1030,UPI,2000,SUCCESS,Mobile App,Daily transfer
TXN00072,2026-01-01 21:00:00,A1023,A1019,RTGS,250,SUCCESS,Internet Banking,Daily transfer
TXN00073,2026-01-01 21:10:00,A1098,A1024,NEFT,1000,SUCCESS,ATM,Daily transfer
TXN00074,2026-01-01 21:20:00,A1003,A1074,UPI,5000,SUCCESS,Mobile App,Daily transfer
TXN00075,2026-01-01 21:30:00,A1013,A1012,UPI,250,SUCCESS,Branch,Daily transfer
TXN00076,2026-01-01 21:40:00,A1031,A1036,IMPS,750,SUCCESS,Mobile App,Daily transfer
TXN00077,2026-01-01 21:50:00,A1071,A1065,RTGS,1500,SUCCESS,Branch,Daily transfer
TXN00078,2026-01-01 22:00:00,A1080,A1008,IMPS,500,SUCCESS,Mobile App,Daily transfer
TXN00079,2026-01-01 22:10:00,A1051,A1090,NEFT,500,SUCCESS,Internet Banking,Daily transfer
TXN00080,2026-01-01 22:20:00,A1079,A1063,RTGS,5000,SUCCESS,ATM,Daily transfer
TXN00081,2026-01-01 22:30:00,A1078,A1072,RTGS,250,SUCCESS,Mobile App,Daily transfer
TXN00082,2026-01-01 22:40:00,A1095,A1084,IMPS,250,SUCCESS,ATM,Daily transfer
TXN00083,2026-01-01 22:50:00,A1074,A1037,NEFT,500,SUCCESS,ATM,Daily transfer
TXN00084,2026-01-01 23:00:00,A1014,A1010,IMPS,1500,SUCCESS,Internet Banking,Daily transfer
TXN00085,2026-01-01 23:10:00,A1087,A1066,NEFT,750,SUCCESS,Internet Banking,Daily transfer
TXN00086,2026-01-01 23:20:00,A1062,A1079,UPI,250,SUCCESS,Internet Banking,Daily transfer
TXN00087,2026-01-01 23:30:00,A1016,A1013,NEFT,2000,SUCCESS,Branch,Daily transfer
TXN00088,2026-01-01 23:40:00,A1001,A1054,UPI,2000,SUCCESS,Branch,Daily transfer
TXN00089,2026-01-01 23:50:00,A1052,A1050,NEFT,500,SUCCESS,Branch,Daily transfer
TXN00090,2026-01-02 00:00:00,A1095,A1055,IMPS,1000,SUCCESS,Branch,Daily transfer
TXN00091,2026-01-02 00:10:00,A1001,A1074,NEFT,5000,SUCCESS,Mobile App,Daily transfer
TXN00092,2026-01-02 00:20:00,A1079,A1087,NEFT,1500,SUCCESS,ATM,Daily transfer
TXN00093,2026-01-02 00:30:00,A1059,A1066,RTGS,250,SUCCESS,Mobile App,Daily transfer
TXN00094,2026-01-02 00:40:00,A1068,A1007,RTGS,1500,SUCCESS,ATM,Daily transfer
TXN00095,2026-01-02 00:50:00,A1039,A1038,IMPS,5000,SUCCESS,Branch,Daily transfer
TXN00096,2026-01-02 01:00:00,A1065,A1063,NEFT,1000,SUCCESS,Mobile App,Daily transfer
TXN00097,2026-01-02 01:10:00,A1012,A1037,IMPS,5000,SUCCESS,Internet Banking,Daily transfer
TXN00098,2026-01-02 01:20:00,A1084,A1008,IMPS,2000,SUCCESS,ATM,Daily transfer
TXN00099,2026-01-02 01:30:00,A1086,A1026,RTGS,1000,SUCCESS,ATM,Daily transfer
TXN00100,2026-01-02 01:40:00,A1052,A1049,IMPS,1500,SUCCESS,Mobile App,Daily transfer
